Model,Features,Train R²,Test R²,MAE,RMSE,Gap
Linear Regression,Financials,0.0712,0.13026296553512973,609336707813.9204,1268880217678.1357,-0.05906296553512973
KNN,Financials,1.0,0.4752243926919515,481537958338.2122,985628981296.3557,0.5247756073080485
Random Forest,Financials,0.9935,0.6730017349778357,365166521771.1343,778035420949.9423,0.3204982650221644
Random Forest Tuned,Financials,0.9698,0.7107407604037521,352920891602.9999,731762694245.0712,0.2590592395962479
XGBoost,Financials,1.0,0.34729823035089824,489565226512.85486,1099218528021.9657,0.6527017696491018
XGBoost Tuned,Financials,0.6622,0.11728630057285239,575693926472.487,1278311153881.3833,0.5449136994271476
